,Open,High,Low,Close,Volume,Returns,Avg_Daily_Return,Volatility,Key_Point,fetch_timestamp
2025-07-18 12:00:00+05:30,684.0,684.15,681.65,681.9,125613,-0.0031430450990423964,-0.00022805891938013634,0.002226803659158884,True,2025-07-18 12:00:00+05:30
2025-07-18 12:15:00+05:30,681.95,682.1,680.35,681.15,173044,-0.001099868015838057,-0.00027210421419437416,0.0022353099959445013,True,2025-07-18 12:15:00+05:30
2025-07-18 12:30:00+05:30,681.15,681.15,679.5,680.0,192216,-0.0016883212214636734,-0.00022146406268177543,0.002188364548572305,True,2025-07-18 12:30:00+05:30
2025-07-18 12:45:00+05:30,680.05,680.65,679.45,680.45,126631,0.0006617647058824172,-0.0001041945815052181,0.002168639940256355,True,2025-07-18 12:45:00+05:30
2025-07-18 13:00:00+05:30,680.45,681.5,680.0,680.2,107855,-0.0003674039238739102,-6.390515018755427e-05,0.0021551778819524888,True,2025-07-18 13:00:00+05:30
2025-07-18 13:15:00+05:30,680.2,680.25,679.6,679.85,49164,-0.0005145545427815978,-8.229181140386177e-05,0.002157489900594263,True,2025-07-18 13:15:00+05:30
2025-07-18 13:30:00+05:30,679.9,680.8,679.85,680.75,78346,0.0013238214311981356,-3.8127171562013507e-05,0.0021777015125371128,True,2025-07-18 13:30:00+05:30
2025-07-18 13:45:00+05:30,680.7,681.4,679.9,680.15,110220,-0.0008813808299670267,-0.00012622967849409972,0.0021742142246917364,True,2025-07-18 13:45:00+05:30
2025-07-18 14:00:00+05:30,680.2,680.65,680.1,680.5,40289,0.00051459236933038,-0.00012249742034435297,0.0021753010734055886,True,2025-07-18 14:00:00+05:30
2025-07-18 14:15:00+05:30,680.55,680.85,679.8,680.5,113071,0.0,-0.0003387096748151797,0.0019086133341890408,False,2025-07-18 14:15:00+05:30
2025-07-18 14:30:00+05:30,680.5,681.4,679.95,679.95,195743,-0.000808229243203451,-0.00026965605633607617,0.0018625630669528237,True,2025-07-18 14:30:00+05:30
2025-07-18 14:45:00+05:30,679.8,680.2,679.2,679.95,190570,0.0,-0.00020748974316412984,0.0018490548096941548,False,2025-07-18 14:45:00+05:30
2025-07-18 15:00:00+05:30,680.1,680.9,678.9,680.8,621632,0.0012500919185232107,-8.640283909503444e-05,0.001861843682000761,True,2025-07-18 15:00:00+05:30
2025-07-18 15:15:00+05:30,680.85,681.05,680.25,680.4,494139,-0.000587544065804857,0.00010049561743877278,0.0015802271867616765,True,2025-07-18 15:15:00+05:30
2025-07-21 09:15:00+05:30,680.5,682.0,675.0,677.1,705351,-0.004850088183421475,-0.0003076814226136759,0.0017516647515944776,True,2025-07-21 09:15:00+05:30
2025-07-21 09:30:00+05:30,677.1,677.35,671.25,672.6,679235,-0.00664599025254764,-0.000709700588844464,0.0022045762413601933,True,2025-07-21 09:30:00+05:30
2025-07-21 09:45:00+05:30,672.6,676.85,672.0,676.4,329363,0.005649717514124131,-0.0005774528956226765,0.0024988222136923303,True,2025-07-21 09:45:00+05:30
2025-07-21 10:00:00+05:30,676.4,682.6,676.0,680.15,570888,0.005544056771141337,-0.0003075567938769508,0.0028481809530199916,True,2025-07-21 10:00:00+05:30
2025-07-21 10:15:00+05:30,680.25,681.5,679.35,680.45,226195,0.00044107917371172256,-0.00019052913560048678,0.0028273374686648436,True,2025-07-21 10:15:00+05:30
2025-07-21 10:30:00+05:30,680.45,681.65,679.55,679.7,141117,-0.0011022117716217306,-0.00031517566328272405,0.0028088487170217094,True,2025-07-21 10:30:00+05:30
2025-07-21 10:45:00+05:30,679.5,681.35,678.0,680.7,240142,0.0014712373105782994,-8.446154280168927e-05,0.0027533026756096325,True,2025-07-21 10:45:00+05:30
2025-07-21 11:00:00+05:30,680.7,682.0,680.5,681.5,131427,0.0011752607609811783,2.9294896039272488e-05,0.0027561402862897005,True,2025-07-21 11:00:00+05:30
2025-07-21 11:15:00+05:30,681.35,682.9,681.3,682.5,140751,0.0014673514306675628,0.0001870785286458343,0.002742931242799467,True,2025-07-21 11:15:00+05:30
2025-07-21 11:30:00+05:30,682.5,682.95,680.4,680.65,257012,-0.002710622710622723,1.8459157820577276e-05,0.0028149269403684733,True,2025-07-21 11:30:00+05:30
2025-07-21 11:45:00+05:30,680.7,682.75,680.7,682.45,95531,0.0026445309630500624,0.0001690559021667759,0.002873162892526971,True,2025-07-21 11:45:00+05:30
2025-07-21 12:00:00+05:30,682.45,682.9,682.0,682.35,167431,-0.00014653088138327774,0.00018745708523669192,0.002869730730442057,False,2025-07-21 12:00:00+05:30
2025-07-21 12:15:00+05:30,682.4,685.0,682.0,684.1,301788,0.002564666227009571,0.0002494993250272637,0.0029087395482020454,True,2025-07-21 12:15:00+05:30
2025-07-21 12:30:00+05:30,684.05,687.8,683.7,687.0,407438,0.0042391463236368665,0.0005055256827074583,0.003026913946564554,True,2025-07-21 12:30:00+05:30
2025-07-21 12:45:00+05:30,687.0,687.5,685.25,685.8,185858,-0.0017467248908297206,0.00039245981969945334,0.0030685057688158803,True,2025-07-21 12:45:00+05:30
2025-07-21 13:00:00+05:30,685.9,686.5,685.3,685.95,112294,0.00021872265966771387,0.000403395952682839,0.0030674229996982224,False,2025-07-21 13:00:00+05:30
2025-07-21 13:15:00+05:30,685.8,686.45,685.5,685.8,167896,-0.00021867483052717684,0.0004328736733166527,0.00305798481155411,False,2025-07-21 13:15:00+05:30
2025-07-21 13:30:00+05:30,685.8,686.45,685.55,686.0,78910,0.00029163021289013713,0.0004474551839611596,0.0030565070254443783,False,2025-07-21 13:30:00+05:30
2025-07-21 13:45:00+05:30,685.75,686.2,684.5,685.25,121157,-0.0010932944606414363,0.00033028586500292724,0.003069009607853098,True,2025-07-21 13:45:00+05:30
2025-07-21 14:00:00+05:30,685.35,687.0,683.5,684.75,275809,-0.0007296607077709183,0.0003231800329046242,0.0030714101389139954,True,2025-07-21 14:00:00+05:30
2025-07-21 14:15:00+05:30,684.85,686.8,684.75,686.05,127550,0.001898503103322291,0.0006606095972418125,0.0028347413240143197,True,2025-07-21 14:15:00+05:30
