id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,BUY,994.59,2025-11-04 08:00:00+05:30,35.22871694123048,3.503812958257843,35038.129582578425,5.677186606984453,1014.4601531244456,988.9128133930155,sl_hit,-0.020749714278384703,,,988.7,2025-11-04 10:15:00+05:30,
2,Moving Average Crossover,SELL,958.05,2025-11-04 11:30:00+05:30,23.190320170227153,2.2688261175960673,22217.486239086124,8.445336489824093,928.4913222856156,966.495336489824,tp_hit,0.09574514893211096,,,917.62,2025-11-04 22:30:00+05:30,
3,Moving Average Crossover,BUY,930.11,2025-11-05 07:30:00+05:30,17.720167173059426,1.5360270535282643,16481.704689334303,12.11059398808805,972.4970789583082,917.999406011912,tp_hit,0.0707479749418358,,,972.95,2025-11-07 23:30:00+05:30,
4,Moving Average Crossover,SELL,1000.71,2025-11-08 14:00:00+05:30,45.49295225656916,3.962432121496751,45525.25225267133,5.050988732758387,983.0315394353457,1005.7609887327584,tp_hit,0.08663650290128898,,,978.83,2025-11-09 08:45:00+05:30,
5,Moving Average Crossover,BUY,991.93,2025-11-09 14:30:00+05:30,76.36041390260588,6.06700682900873,75744.18536241185,3.2699155545933953,1003.3747044410768,988.6600844454066,sl_hit,-0.029786701941944032,,,987.06,2025-11-09 15:15:00+05:30,
6,Moving Average Crossover,SELL,989.33,2025-11-09 17:30:00+05:30,85.10102474854445,6.950786198914218,84192.99681447748,2.846670784247524,979.3666522551337,992.1766707842476,sl_hit,-0.04686175891437392,,,996.0,2025-11-09 19:45:00+05:30,
7,Moving Average Crossover,SELL,987.5,2025-11-09 20:15:00+05:30,42.07264536811738,3.5986448762395558,41546.73730101591,5.48817698862189,968.2913805398234,992.988176988622,sl_hit,-0.025764475215203884,,,994.57,2025-11-09 20:45:00+05:30,
8,Moving Average Crossover,BUY,996.9,2025-11-09 21:00:00+05:30,44.158147965650834,3.913817331668709,44021.257706957316,5.094259213037714,1014.7299072456319,991.8057407869622,tp_hit,0.07294485507313148,,,1015.48,2025-11-10 08:15:00+05:30,
9,Moving Average Crossover,SELL,1006.8,2025-11-10 13:00:00+05:30,69.16568562330363,5.770249570760774,69636.01228554209,3.4896237594356223,994.5863168419753,1010.2896237594356,tp_hit,0.07576748045834023,,,993.58,2025-11-10 20:00:00+05:30,
10,Moving Average Crossover,BUY,986.68,2025-11-11 03:15:00+05:30,74.47109041777604,5.659868361451528,73479.13549341126,3.486582856661904,998.8830399983166,983.193417143338,tp_hit,0.09516481140438747,,,1003.27,2025-11-11 06:45:00+05:30,
