id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,BUY,108065.85,2025-11-03 17:30:00+05:30,0.5191693536167901,5.610447749254899,56104.47749254899,385.23075101929896,109992.0037550965,107680.6192489807,sl_hit,-0.02697811629134285,,,107546.21,2025-11-03 19:45:00+05:30,
2,Moving Average Crossover,SELL,105992.64,2025-11-03 20:45:00+05:30,0.31745133547757115,3.458041970294287,33647.50511879343,613.0211310939051,102927.53434453048,106605.6611310939,sl_hit,-0.022374432632566107,,,106678.44,2025-11-03 22:15:00+05:30,
3,Moving Average Crossover,BUY,107125.43,2025-11-04 07:00:00+05:30,0.39559935832153115,4.455054260065113,42378.7513679181,480.91638730538955,109530.01193652693,106644.5136126946,sl_hit,-0.02673354524689049,,,106482.6,2025-11-04 08:15:00+05:30,
4,Moving Average Crossover,SELL,105668.09,2025-11-04 10:45:00+05:30,0.43644926485978336,4.981391897137219,46118.76019963742,424.25126222543105,103546.83368887284,106092.34126222543,tp_hit,0.11649134463562129,,,103197.01,2025-11-04 21:15:00+05:30,
5,Moving Average Crossover,BUY,101677.93,2025-11-05 08:15:00+05:30,0.27669683487118585,2.7217523902042298,28133.96140725399,747.1504782429563,105413.68239121478,100930.77952175704,sl_hit,-0.029029761248371918,,,100593.45,2025-11-06 22:00:00+05:30,
6,Moving Average Crossover,BUY,101680.24,2025-11-07 06:45:00+05:30,0.42866087646363626,4.342723884729378,43586.34079743289,468.27863202422475,104021.63316012113,101211.96136797577,sl_hit,-0.025376771834819102,,,101086.07,2025-11-07 07:00:00+05:30,
7,Moving Average Crossover,SELL,101370.99,2025-11-07 14:30:00+05:30,0.7741650542664695,8.022732293144253,78477.87797439574,252.7093920025864,100107.44303998708,101623.69939200259,tp_hit,0.10032155828913768,,,100103.38,2025-11-07 16:30:00+05:30,
8,Moving Average Crossover,BUY,101532.87,2025-11-07 21:45:00+05:30,0.3310597378551017,3.1229746328839747,33613.44532587611,650.2317945902583,104784.02897295129,100882.63820540973,tp_hit,0.10066256455706828,,,104805.57,2025-11-10 01:15:00+05:30,
9,Moving Average Crossover,SELL,106059.9,2025-11-10 16:30:00+05:30,1.0537816694109567,9.434156682495697,111763.97847955913,224.84235437129308,104935.68822814352,106284.7423543713,sl_hit,-0.020124322273053965,,,106286.14,2025-11-10 17:00:00+05:30,
10,Moving Average Crossover,BUY,106548.02,2025-11-10 19:15:00+05:30,0.9425369143481779,8.651153257560152,100425.44200070795,246.3209628309123,107779.62481415457,106301.69903716909,sl_hit,-0.024654824056404012,,,106244.37,2025-11-10 19:30:00+05:30,
11,Moving Average Crossover,SELL,104898.15,2025-11-10 20:15:00+05:30,0.5602427643923102,5.190581312550584,58768.42953563921,404.18652048224794,102877.21739758876,105302.33652048225,sl_hit,-0.028776318384202273,,,105479.7,2025-11-10 20:45:00+05:30,
12,Moving Average Crossover,BUY,106235.64,2025-11-11 01:30:00+05:30,0.5969569061121334,5.767211382062023,63418.0989732424,368.4125063646141,108077.70253182307,105867.22749363538,sl_hit,-0.03483269372864204,,,105594.0,2025-11-11 02:30:00+05:30,
13,Moving Average Crossover,SELL,105631.27,2025-11-11 03:15:00+05:30,0.6099048322917503,6.070222686215431,64425.0220141146,348.0309552394934,103891.11522380254,105979.3009552395,sl_hit,-0.024798368852164115,,,106062.8,2025-11-11 04:15:00+05:30,
14,Moving Average Crossover,BUY,106108.87,2025-11-11 04:30:00+05:30,0.6271333965181015,6.429352644758647,66544.41604379768,330.0763727324938,107759.25186366246,105778.7936272675,sl_hit,-0.02345760145114974,,,105721.73,2025-11-11 05:45:00+05:30,
15,Moving Average Crossover,SELL,105755.32,2025-11-11 10:15:00+05:30,0.5564114814697305,5.821874398826744,58843.474274505425,363.3033375687816,103938.8033121561,106118.62333756879,tp_hit,0.1127856415363718,,,103706.55,2025-11-11 20:45:00+05:30,
