id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,SELL,3860.03,2025-10-19 06:30:00+05:30,19.617176252924917,7.572288885157776,75722.88885157777,10.195147223096397,3824.3469847191627,3870.2251472230964,sl_hit,-0.022108557637046347,,,3871.3,2025-10-19 06:45:00+05:30,
2,Moving Average Crossover,BUY,3900.95,2025-10-19 09:45:00+05:30,17.748942012072533,7.080308952769842,69237.73534199434,11.019151921256018,3939.517031724396,3889.930848078744,sl_hit,-0.02194361251464008,,,3888.86,2025-10-19 11:45:00+05:30,
3,Moving Average Crossover,SELL,3876.03,2025-10-19 13:45:00+05:30,7.329844734857394,2.970485014122059,28410.698087649307,26.09695037391447,3784.6906736912997,3902.1269503739145,sl_hit,-0.028187201548855033,,,3912.81,2025-10-19 15:15:00+05:30,
4,Moving Average Crossover,BUY,3934.66,2025-10-19 15:45:00+05:30,6.259906409435487,2.6499513257671716,24630.603352949434,29.69609261680231,4038.596324158808,3904.9639073831977,tp_hit,0.07162558480156854,,,4041.01,2025-10-20 10:00:00+05:30,
5,Moving Average Crossover,SELL,4030.51,2025-10-20 20:00:00+05:30,10.987993546248802,4.446293953128414,44287.21786809126,18.129750495529574,3967.055873265647,4048.63975049553,tp_hit,0.07307326156124837,,,3964.27,2025-10-20 21:45:00+05:30,
6,Moving Average Crossover,BUY,3926.89,2025-10-21 19:30:00+05:30,7.984105424487011,2.9333602201021165,31352.7037503638,26.774004590975853,4020.5990160684155,3900.115995409024,tp_hit,0.07047881065337569,,,4021.24,2025-10-21 20:15:00+05:30,
7,Moving Average Crossover,SELL,3935.34,2025-10-22 03:30:00+05:30,8.353946809018943,2.8733351765093973,32875.621035404605,27.392140201205166,3839.4675092957823,3962.7321402012053,tp_hit,0.07039975649347613,,,3838.92,2025-10-22 06:00:00+05:30,
8,Moving Average Crossover,BUY,3824.82,2025-10-23 07:00:00+05:30,12.738626349916247,3.978321924210311,48722.952835686665,19.228308180511156,3892.1190786317893,3805.591691819489,tp_hit,0.07251808047331432,,,3894.54,2025-10-23 13:30:00+05:30,
9,Moving Average Crossover,SELL,3845.69,2025-10-23 19:00:00+05:30,14.942623126518738,4.374846466937303,57464.696331421845,17.580914114648923,3784.1568005987288,3863.270914114649,sl_hit,-0.02252442605757547,,,3865.49,2025-10-23 20:30:00+05:30,
10,Moving Average Crossover,BUY,3918.26,2025-10-23 22:15:00+05:30,10.158683161058114,3.1001767332149024,39804.36188264757,25.27765567698291,4006.7317948694404,3892.9823443230175,sl_hit,-0.024187369580982387,,,3887.69,2025-10-23 22:30:00+05:30,
11,Moving Average Crossover,SELL,3851.35,2025-10-24 01:45:00+05:30,12.376606697614186,3.804555549959467,47666.64420485639,20.245991677219862,3780.4890291297306,3871.59599167722,sl_hit,-0.021693182877980454,,,3873.31,2025-10-24 06:30:00+05:30,
12,Moving Average Crossover,BUY,3876.41,2025-10-24 07:00:00+05:30,17.877990256721006,5.6540894271178175,69302.42021105587,13.711880754514373,3924.4015826408004,3862.6981192454855,tp_hit,0.12660553508886513,,,3963.21,2025-10-24 10:00:00+05:30,
13,Moving Average Crossover,SELL,3902.27,2025-10-24 20:15:00+05:30,10.611437100725185,2.9987061497954994,41408.69265504687,26.026358069570243,3811.1777467565043,3928.29635806957,sl_hit,-0.02498236588699714,,,3934.78,2025-10-25 00:45:00+05:30,
14,Moving Average Crossover,BUY,3935.3,2025-10-25 02:45:00+05:30,19.46232703124222,5.688562474268153,76590.09556604752,13.835832928973101,3983.725415251406,3921.464167071027,sl_hit,-0.02226103781255052,,,3919.9,2025-10-25 05:45:00+05:30,
15,Moving Average Crossover,SELL,3927.55,2025-10-25 11:00:00+05:30,33.51747380525795,10.0,131641.55424384086,7.340060779401438,3901.859787272095,3934.8900607794017,sl_hit,-0.03579839849269888,,,3941.61,2025-10-25 12:45:00+05:30,
16,Moving Average Crossover,SELL,3932.71,2025-10-25 21:15:00+05:30,32.27519889003298,10.0,126928.99742682162,7.427533715142007,3906.713631997003,3940.137533715142,sl_hit,-0.032674669629847886,,,3945.56,2025-10-25 23:45:00+05:30,
17,Moving Average Crossover,BUY,3959.68,2025-10-26 00:15:00+05:30,26.78903931542145,8.639404723780032,106076.02319648801,9.16655748075084,3991.7629511826276,3950.513442519249,sl_hit,-0.031025824099965234,,,3945.46,2025-10-26 02:15:00+05:30,
18,Moving Average Crossover,SELL,3931.81,2025-10-26 08:00:00+05:30,23.689707123674914,7.829005561535868,93143.42736593627,10.044213071752297,3896.655254248867,3941.8542130717524,sl_hit,-0.02174386369940873,,,3942.73,2025-10-26 10:45:00+05:30,
19,Moving Average Crossover,BUY,3955.69,2025-10-26 13:30:00+05:30,29.422254261808746,10.0,116385.31696089424,5.4924012536349895,3974.9134043877225,3950.197598746365,tp_hit,0.11997906812717893,,,4003.15,2025-10-26 14:45:00+05:30,
20,Moving Average Crossover,SELL,4170.85,2025-10-27 15:00:00+05:30,13.801601705347874,4.41617181518948,57564.41047275018,18.888984281156397,4104.738555015953,4189.738984281157,sl_hit,-0.023219882735438232,,,4192.78,2025-10-27 21:45:00+05:30,
21,Moving Average Crossover,BUY,4218.41,2025-10-27 22:30:00+05:30,13.59934285800473,4.5056951077834055,57367.60390563573,18.724791176894627,4283.946769119131,4199.685208823105,sl_hit,-0.02017645998990755,,,4199.52,2025-10-28 01:00:00+05:30,
22,Moving Average Crossover,SELL,4127.16,2025-10-28 02:30:00+05:30,12.573711469542351,4.159700061007758,51893.719028636406,19.843546118563776,4057.7075885850268,4147.0035461185635,sl_hit,-0.027001222301630587,,,4153.95,2025-10-28 19:00:00+05:30,
23,Moving Average Crossover,SELL,4135.0,2025-10-28 22:15:00+05:30,10.123780279188885,3.448682002269712,41861.831454446045,23.980175599133787,4051.069385403032,4158.980175599134,tp_hit,0.0797408672882727,,,4039.39,2025-10-29 01:15:00+05:30,
24,Moving Average Crossover,BUY,4029.89,2025-10-29 11:30:00+05:30,23.925718600711335,7.356539458204351,96418.0141318206,10.9559393323329,4068.235787663165,4018.934060667667,sl_hit,-0.025757718388159722,,,4015.78,2025-10-29 13:00:00+05:30,
25,Moving Average Crossover,SELL,3999.35,2025-10-29 16:00:00+05:30,22.312059550812926,6.988395666649299,89233.73536454367,11.445688512131866,3959.2900902075385,4010.7956885121316,sl_hit,-0.020374484221969316,,,4011.01,2025-10-29 17:15:00+05:30,
26,Moving Average Crossover,BUY,4016.01,2025-10-29 18:15:00+05:30,23.061663943952258,7.404125117617826,92615.87301555171,10.848033862755942,4053.978118519646,4005.1619661372442,sl_hit,-0.024409953301227277,,,4002.77,2025-10-29 19:00:00+05:30,
27,Moving Average Crossover,SELL,3977.02,2025-10-29 19:45:00+05:30,14.807631774630995,4.825744723748247,58890.24772034296,16.482512970188665,3919.3312046043397,3993.5025129701885,sl_hit,-0.03308961448939523,,,4004.29,2025-10-29 23:00:00+05:30,
28,Moving Average Crossover,BUY,3940.42,2025-10-30 13:15:00+05:30,12.576519162706568,4.199888008591191,49556.767639112215,18.76440510765797,4006.095417876803,3921.655594892342,sl_hit,-0.03222057915138787,,,3910.19,2025-10-30 14:30:00+05:30,
