id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,gtt_id,margin_used,effective_leverage,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,SELL,2985.69,2025-12-20 11:45:00+00:00,33.49309539838362,10.0,100000.0,4.668115066034566,2955.3472520707755,2990.3581150660348,sl_hit,-0.023043249634088298,,,,10000.0,10.0,2992.57,2025-12-21 08:30:00+00:00,
2,Moving Average Crossover,SELL,2971.28,2025-12-21 16:00:00+00:00,18.242154294441274,5.548101099837462,54202.54821198747,10.710980014719082,2901.658629904326,2981.9909800147193,sl_hit,-0.02429282844729681,,,,9769.567503659116,5.548101099837462,2984.29,2025-12-21 16:45:00+00:00,
3,Moving Average Crossover,BUY,2989.72,2025-12-21 20:30:00+00:00,24.09449546816963,7.557071274516037,72035.7949910961,7.912377404939758,3041.1504531321084,2981.80762259506,sl_hit,-0.030964144840594253,,,,9532.23707628844,7.557071274516037,2977.47,2025-12-21 21:30:00+00:00,
4,Moving Average Crossover,SELL,2986.99,2025-12-22 19:30:00+00:00,11.487987345693412,3.7148649956340845,34314.503321712764,16.0812842647605,2882.4616522790566,3003.0712842647604,sl_hit,-0.028716611956917014,,,,9237.079506803362,3.7148649956340845,3010.08,2025-12-22 22:45:00+00:00,
5,Moving Average Crossover,BUY,2959.69,2025-12-23 23:15:00+00:00,14.466975708186796,4.772471401157306,42817.76333376338,12.40317542513628,3040.3106402633857,2947.2868245748637,sl_hit,-0.024171229521790846,,,,8971.821878991299,4.772471401157306,2944.7,2025-12-24 02:15:00+00:00,
6,Moving Average Crossover,SELL,2934.64,2025-12-24 05:15:00+00:00,15.801298215808597,5.296553229605744,46371.12179604054,11.08131976696265,2862.6114215147427,2945.7213197669626,sl_hit,-0.02133319902064333,,,,8754.961913125575,5.296553229605744,2946.46,2025-12-24 20:00:00+00:00,
7,Moving Average Crossover,SELL,2921.67,2025-12-25 08:15:00+00:00,27.67719943634192,9.43765695141699,80863.64327717709,6.191515574342495,2881.425148766774,2927.861515574343,sl_hit,-0.023839074331275748,,,,8568.190568214715,9.43765695141699,2929.05,2025-12-25 08:45:00+00:00,
8,Moving Average Crossover,BUY,2946.2,2025-12-25 17:00:00+00:00,15.452889321993732,5.443288870333939,45527.30252045793,10.825073113634899,3016.5629752386267,2935.374926886365,sl_hit,-0.03395820020254426,,,,8363.932836374508,5.443288870333939,2927.82,2025-12-25 22:30:00+00:00,
9,Moving Average Crossover,SELL,2901.09,2025-12-26 00:15:00+00:00,12.620248321282045,4.53129823899694,36612.47620238813,12.80467471786714,2817.8596143338636,2913.8946747178675,sl_hit,-0.02489715725110613,,,,8079.908730636269,4.53129823899694,2917.03,2025-12-26 01:15:00+00:00,
10,Moving Average Crossover,BUY,2969.67,2025-12-26 05:00:00+00:00,15.240673732482803,5.744542938672205,45259.7715631422,10.339099321577743,3036.8741455902555,2959.3309006784225,sl_hit,-0.028106897028595194,,,,7878.7419723950325,5.744542938672205,2955.14,2025-12-26 07:45:00+00:00,
11,Moving Average Crossover,SELL,2921.23,2025-12-26 16:15:00+00:00,10.556041628752057,4.027091232004255,30836.625487159374,14.507890840834637,2826.928709534575,2935.7378908408346,sl_hit,-0.03195502399943105,,,,7657.294983062055,4.027091232004255,2944.41,2025-12-27 22:00:00+00:00,
12,Moving Average Crossover,BUY,2938.82,2025-12-27 22:15:00+00:00,25.223068912378384,10.0,74126.05938107584,5.631202900385799,2975.422818852508,2933.1887970996145,sl_hit,-0.0287530369331918,,,,7412.605938107585,10.0,2930.37,2025-12-27 22:30:00+00:00,
13,Moving Average Crossover,SELL,2934.67,2025-12-28 20:30:00+00:00,24.41721926638665,9.953020271458763,71656.4808644869,5.897044153352017,2896.339213003212,2940.567044153352,sl_hit,-0.027505305332978437,,,,7199.47100579798,9.953020271458763,2942.78,2025-12-28 22:30:00+00:00,
14,Moving Average Crossover,BUY,2965.28,2025-12-29 00:45:00+00:00,14.359632097315849,6.081646792591681,42580.32986552874,9.751569274335816,3028.665200283183,2955.5284307256643,tp_hit,0.14516637888483974,,,,7001.44735754758,6.081646792591681,3036.06,2025-12-29 03:30:00+00:00,
15,Moving Average Crossover,SELL,2927.53,2025-12-29 12:30:00+00:00,10.284678705983385,3.7552224296424863,30108.705452127542,15.591779474318457,2826.1834334169303,2943.121779474319,sl_hit,-0.0380200349149634,,,,8017.822117395593,3.7552224296424863,2957.17,2025-12-29 14:30:00+00:00,
16,Moving Average Crossover,BUY,2954.41,2025-12-30 04:15:00+00:00,15.732528707540846,6.0262459625523395,46480.34013884575,9.805142433146546,3018.1434258154522,2944.6048575668533,sl_hit,-0.020662626920655264,,,,7712.984240550247,6.0262459625523395,2944.28,2025-12-30 04:45:00+00:00,
17,Moving Average Crossover,SELL,2966.58,2025-12-30 21:45:00+00:00,19.107124181087478,7.504065539843323,56682.812453130486,7.906594056911553,2915.187138630075,2974.4865940569116,sl_hit,-0.027268378577187377,,,,7553.613724742863,7.504065539843323,2977.36,2025-12-31 01:15:00+00:00,
