id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,gtt_id,margin_used,effective_leverage,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,BUY,184.341,2025-12-26 00:45:00+00:00,134.09272096364097,2.471878627515854,24718.78627515854,0.14915052701050768,185.60877947958932,184.1918494729895,sl_hit,-0.002413668977345629,,,,10000.0,2.471878627515854,184.161,2025-12-26 01:15:00+00:00,
2,Moving Average Crossover,SELL,183.807,2025-12-29 06:00:00+00:00,231.22358394275196,4.260334366269525,42500.513293765405,0.08628759350686685,183.0735554551916,183.89328759350684,sl_hit,-0.003592636987556411,,,,9975.863310226543,4.260334366269525,183.962,2025-12-29 08:00:00+00:00,
3,Moving Average Crossover,BUY,184.031,2025-12-29 09:30:00+00:00,177.56094490635832,3.287388379258094,32676.718252062026,0.11196182426217166,184.98267550622847,183.91903817573782,sl_hit,-0.00239367303780685,,,,9940.023654715416,3.287388379258094,183.897,2025-12-29 11:00:00+00:00,
4,Moving Average Crossover,SELL,183.915,2025-12-29 12:15:00+00:00,192.73907835669124,3.574705896410653,35447.60759597087,0.10289797557033616,183.04036720765214,184.01789797557032,sl_hit,-0.0023518441316136385,,,,9916.230488097961,3.574705896410653,184.036,2025-12-29 14:45:00+00:00,
5,Moving Average Crossover,BUY,183.832,2025-12-31 06:30:00+00:00,429.69491239658925,7.984676161447453,78991.67513568979,0.046046200567932655,184.22339270482743,183.78595379943206,sl_hit,-0.003865682679668461,,,,9892.909059616799,7.984676161447453,183.743,2025-12-31 07:15:00+00:00,
6,Moving Average Crossover,SELL,183.651,2025-12-31 08:15:00+00:00,308.31376148095956,5.745717753323316,56622.1306097397,0.06392621701397584,183.1076271553812,183.71492621701398,sl_hit,-0.00456776599084746,,,,9854.666212413504,5.745717753323316,183.797,2025-12-31 09:30:00+00:00,
7,Moving Average Crossover,BUY,183.922,2025-12-31 11:00:00+00:00,246.82206788114158,4.627687761276247,45396.00836883532,0.07948764458096329,184.59764497893818,183.84251235541905,sl_hit,-0.002038052591116476,,,,9809.652403237287,4.627687761276247,183.841,2026-01-02 10:00:00+00:00,
8,Moving Average Crossover,SELL,183.79,2026-01-02 10:30:00+00:00,205.55787925127638,3.8591210868077046,37779.482627592086,0.09524966740654024,182.9803778270444,183.88524966740653,sl_hit,-0.0024567014916838424,,,,9789.659815738918,3.8591210868077046,183.907,2026-01-02 11:30:00+00:00,
9,Moving Average Crossover,BUY,183.175,2026-01-07 03:15:00+00:00,243.75511913179804,4.572151256550118,44649.84394696711,0.08012639552883617,183.85607436199513,183.0948736044712,sl_hit,-0.004193374702336284,,,,9765.609543866514,4.572151256550118,183.007,2026-01-07 04:45:00+00:00,
10,Moving Average Crossover,BUY,183.197,2026-01-08 02:15:00+00:00,264.4613973876567,4.982029312522249,48448.53461722654,0.07354312409986724,183.82211655484886,183.12345687590013,sl_hit,-0.002610713133960458,,,,9724.65868385237,4.982029312522249,183.101,2026-01-08 03:00:00+00:00,
11,Moving Average Crossover,SELL,183.036,2026-01-08 04:30:00+00:00,261.79597503255815,4.940380684399689,47918.08808605931,0.07409793361793977,182.4061675642475,183.11009793361794,sl_hit,-0.0022672697037172448,,,,9699.270389703155,4.940380684399689,183.12,2026-01-08 14:30:00+00:00,
12,Moving Average Crossover,BUY,183.196,2026-01-08 15:00:00+00:00,199.2428216329634,3.7717715859106407,36500.48795187236,0.0971405589269107,184.02169475087874,183.09885944107307,sl_hit,-0.0039324459753976165,,,,9677.27952780042,3.7717715859106407,183.005,2026-01-08 15:45:00+00:00,
13,Moving Average Crossover,SELL,182.732,2026-01-08 17:00:00+00:00,191.77700209297188,3.6355410565451445,35043.79514645294,0.10052533978183167,181.87753461185443,182.83252533978182,sl_hit,-0.0027057854327108763,,,,9639.224148868523,3.6355410565451445,182.868,2026-01-08 19:45:00+00:00,
14,Moving Average Crossover,BUY,183.084,2026-01-09 01:45:00+00:00,218.90891180564157,4.169158972380739,40078.71920902408,0.0878277855139942,183.83053617686895,182.996172214486,tp_hit,0.01783034823017885,,,,9613.14247658388,4.169158972380739,183.867,2026-01-09 14:00:00+00:00,
15,Moving Average Crossover,SELL,184.843,2026-01-14 10:30:00+00:00,148.30542111405205,2.8016847096101776,27413.21895498472,0.1319513215501817,183.72141376682345,184.97495132155018,tp_hit,0.017642869905737362,,,,9784.548154527694,2.8016847096101776,183.679,2026-01-16 02:30:00+00:00,
