id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,gtt_id,margin_used,effective_leverage,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,SELL,4348.67,2025-12-21 23:15:00+00:00,22.99553656635247,10.0,100000.0,4.3012746691003985,4320.711714650847,4352.9712746691,sl_hit,-0.014556174646500946,,,,10000.0,10.0,4355.0,2025-12-21 23:45:00+00:00,
2,Moving Average Crossover,BUY,4359.69,2025-12-22 00:00:00+00:00,22.603529731551994,10.0,98544.3825353499,5.322874206818862,4394.288682344322,4354.367125793181,tp_hit,0.08463904543671809,,,,9854.43825353499,10.0,4396.59,2025-12-22 04:00:00+00:00,
3,Moving Average Crossover,SELL,4452.9,2025-12-23 14:30:00+00:00,19.61327955538815,8.171015865033564,87335.9725321879,10.89925677186703,4382.054830982864,4463.799256771867,sl_hit,-0.024038336327324362,,,,10688.508500629272,8.171015865033564,4466.0,2025-12-23 16:30:00+00:00,
4,Moving Average Crossover,BUY,4493.72,2025-12-23 19:00:00+00:00,23.213672722051395,10.0,104315.7453845368,8.929678411784021,4551.762909676597,4484.790321588216,sl_hit,-0.0364063626572207,,,,10431.57453845368,10.0,4477.36,2025-12-24 02:45:00+00:00,
5,Moving Average Crossover,SELL,4499.23,2025-12-24 04:45:00+00:00,22.341153603440826,10.0,100517.98852720906,8.251070722606828,4445.598040303055,4507.481070722606,sl_hit,-0.018492053084640303,,,,10051.798852720905,10.0,4507.55,2025-12-26 00:30:00+00:00,
6,Moving Average Crossover,SELL,4514.57,2025-12-26 13:00:00+00:00,21.85351086535432,10.0,98659.20454740264,6.538199191432405,4472.071705255689,4521.1081991914325,sl_hit,-0.015904061737884875,,,,9865.920454740264,10.0,4521.75,2025-12-26 13:30:00+00:00,
7,Moving Average Crossover,BUY,4525.36,2025-12-26 14:00:00+00:00,21.454673764577876,10.0,97090.12246727014,7.198363399634545,4572.149362097624,4518.1616366003655,sl_hit,-0.019799529761168253,,,,9709.012246727014,10.0,4516.4,2025-12-26 17:30:00+00:00,
8,Moving Average Crossover,SELL,4486.88,2025-12-29 00:15:00+00:00,13.036669013576045,6.1464045069366815,58493.96946363409,14.60001532582575,4391.979900382133,4501.480015325826,sl_hit,-0.03473968956065512,,,,9516.778369796395,6.1464045069366815,4512.24,2025-12-29 01:00:00+00:00,
9,Moving Average Crossover,BUY,4340.64,2025-12-30 00:30:00+00:00,19.668274330808252,9.293635188090443,85372.89829127953,9.341102619483967,4401.3571670266465,4331.298897380517,sl_hit,-0.0338932150621731,,,,9186.16844361211,9.293635188090443,4324.81,2025-12-31 05:30:00+00:00,
10,Moving Average Crossover,BUY,4336.91,2025-12-31 14:15:00+00:00,15.702212381938235,7.673291909350252,68099.08190135175,11.303909850517428,4410.385414028363,4325.606090149482,sl_hit,-0.022823961214462705,,,,8874.819660955418,7.673291909350252,4324.01,2025-12-31 16:00:00+00:00,
11,Moving Average Crossover,SELL,4319.65,2025-12-31 18:45:00+00:00,19.420412446979686,9.67330012944916,83889.3846265958,8.931078209492048,4261.597991638301,4328.581078209491,sl_hit,-0.024879414868840252,,,,8672.261121228421,9.67330012944916,4330.76,2026-01-01 23:00:00+00:00,
12,Moving Average Crossover,BUY,4347.23,2026-01-02 00:15:00+00:00,18.83739937035579,9.683734923734736,81890.50766479179,8.978415940207086,4405.589703611346,4338.251584059793,sl_hit,-0.023523080397088236,,,,8456.500338942466,9.683734923734736,4336.67,2026-01-02 15:15:00+00:00,
13,Moving Average Crossover,BUY,4362.13,2026-01-04 23:30:00+00:00,15.677041771956198,8.281520220630703,68385.29422470329,10.53461172293748,4430.6049761990935,4351.595388277063,tp_hit,0.13390147041951556,,,,8257.577401591518,8.281520220630703,4432.66,2026-01-05 09:15:00+00:00,
14,Moving Average Crossover,SELL,4399.54,2026-01-05 13:15:00+00:00,20.21868803973639,9.500189546794436,88952.92677834183,9.262004675442498,4339.336969609623,4408.802004675443,sl_hit,-0.02729430710289821,,,,9363.279157767585,9.500189546794436,4412.18,2026-01-05 13:30:00+00:00,
15,Moving Average Crossover,BUY,4448.5,2026-01-05 15:45:00+00:00,15.879628921143064,7.756119917426069,70640.52925570493,11.470941778518222,4523.0611215603685,4437.029058221482,sl_hit,-0.020939867417846193,,,,9107.71494094531,7.756119917426069,4436.49,2026-01-06 00:30:00+00:00,
16,Moving Average Crossover,SELL,4441.72,2026-01-06 01:00:00+00:00,20.07555766145182,10.0,89170.0059760238,7.770205388395013,4391.213664975433,4449.490205388395,sl_hit,-0.019812144844790266,,,,8917.000597602379,10.0,4450.52,2026-01-06 01:45:00+00:00,
17,Moving Average Crossover,BUY,4453.52,2026-01-06 02:30:00+00:00,18.90450178947162,9.632533554062888,84191.57680944767,9.24682997469873,4513.624394835542,4444.273170025302,sl_hit,-0.020223146798597852,,,,8740.335690181599,9.632533554062888,4444.17,2026-01-07 06:45:00+00:00,
18,Moving Average Crossover,BUY,4464.4,2026-01-07 10:45:00+00:00,19.18192500324799,10.0,85635.78598450033,6.361841420368819,4505.751969232397,4458.038158579631,sl_hit,-0.031202401218527423,,,,8563.578598450033,10.0,4450.47,2026-01-07 11:30:00+00:00,
19,Moving Average Crossover,BUY,4449.84,2026-01-07 18:00:00+00:00,18.644208293230317,10.0,82963.743831548,8.778248778602977,4506.89861706092,4441.061751221398,sl_hit,-0.021663700267875532,,,,8296.3743831548,10.0,4440.2,2026-01-08 03:45:00+00:00,
20,Moving Average Crossover,BUY,4447.98,2026-01-08 15:00:00+00:00,13.436880137929965,7.36350793889981,59766.97411590972,12.081144033273297,4526.507436216276,4435.898855966726,tp_hit,0.1355004125016192,,,,8116.6442152080535,7.36350793889981,4529.83,2026-01-11 23:00:00+00:00,
21,Moving Average Crossover,SELL,4592.71,2026-01-12 21:00:00+00:00,20.06756981062951,10.0,92164.52854497626,7.793592955343921,4542.051645790265,4600.503592955344,sl_hit,-0.01874710138458486,,,,9216.452854497626,10.0,4601.32,2026-01-13 05:15:00+00:00,
22,Moving Average Crossover,SELL,4583.96,2026-01-13 07:15:00+00:00,19.728948503974973,10.0,90436.71078428111,7.23660386679087,4536.922074865859,4591.196603866791,sl_hit,-0.020877145524829426,,,,9043.671078428111,10.0,4593.53,2026-01-13 08:30:00+00:00,
23,Moving Average Crossover,BUY,4617.86,2026-01-13 13:30:00+00:00,19.175256593411405,10.0,88548.65041245078,9.108243486404213,4677.063582661627,4608.751756513596,sl_hit,-0.04151273533628148,,,,8854.865041245077,10.0,4598.69,2026-01-13 16:15:00+00:00,
24,Moving Average Crossover,SELL,4595.62,2026-01-13 19:00:00+00:00,15.053090610379531,8.150823584238555,69178.28427087238,11.276455569193429,4522.323038800243,4606.896455569194,sl_hit,-0.024936913755792982,,,,8487.275372349379,8.150823584238555,4609.68,2026-01-14 00:15:00+00:00,
25,Moving Average Crossover,BUY,4614.62,2026-01-14 01:15:00+00:00,17.933500306346865,10.0,82756.28918367437,7.078041323646612,4660.627268603703,4607.541958676354,sl_hit,-0.02214700235339043,,,,8275.628918367436,10.0,4604.4,2026-01-14 17:30:00+00:00,
26,Moving Average Crossover,BUY,4636.28,2026-01-14 20:00:00+00:00,17.45439996125464,10.0,80923.48545236567,8.958593834493573,4694.510859924208,4627.321406165506,sl_hit,-0.021655292605278292,,,,8092.348545236567,10.0,4626.24,2026-01-14 20:30:00+00:00,
27,Moving Average Crossover,SELL,4615.2,2026-01-14 23:45:00+00:00,17.154416644187837,10.0,79171.0636962557,8.908899267560715,4557.292154760855,4624.10889926756,tp_hit,0.12987519500779943,,,,7917.106369625571,10.0,4555.26,2026-01-16 15:30:00+00:00,
