id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,SELL,121290.0,2025-11-03 21:45:00+05:30,0.6822574783014365,8.275100954318122,82751.00954318122,293.1444599155212,119531.13324050687,121583.14445991552,tp_hit,0.1394534285648136,,,119246.0,2025-11-04 20:00:00+05:30,
2,Moving Average Crossover,BUY,120413.0,2025-11-05 20:00:00+05:30,0.9462877169116405,10.0,113945.34285648137,236.1642260332256,121829.98535619935,120176.83577396677,tp_hit,0.15413618130932705,,,122269.0,2025-11-10 09:00:00+05:30,
3,Moving Average Crossover,SELL,124512.0,2025-11-11 20:00:00+05:30,1.056190912380826,10.0,131508.4428823614,187.82249466354068,123385.06503201876,124699.82249466355,sl_hit,-0.01807054741711642,,,124737.0,2025-11-12 17:45:00+05:30,
4,Moving Average Crossover,SELL,126303.0,2025-11-13 20:00:00+05:30,0.654903769393488,6.405561924806325,82716.31078570572,394.35416122003636,123936.87503267979,126697.35416122004,sl_hit,-0.03539965181757215,,,127001.0,2025-11-13 21:30:00+05:30,
5,Moving Average Crossover,BUY,123349.0,2025-11-17 15:30:00+05:30,1.0098240360208677,10.0,124560.785019138,246.18703590632907,124826.12221543798,123102.81296409367,sl_hit,-0.020105554159336517,,,123101.0,2025-11-17 16:00:00+05:30,
6,Moving Average Crossover,SELL,122820.0,2025-11-17 16:15:00+05:30,0.9587401953389509,9.64738023869914,117752.47079152995,254.61834604035707,121292.28992375785,123074.61834604036,sl_hit,-0.025449855050794022,,,123144.0,2025-11-17 17:00:00+05:30,
7,Moving Average Crossover,BUY,121923.0,2025-11-18 17:00:00+05:30,0.9756166037327497,10.0,118950.10317690804,207.64756540610344,123168.88539243663,121715.3524345939,sl_hit,-0.022145124381781945,,,121653.0,2025-11-18 17:45:00+05:30,
8,Moving Average Crossover,BUY,122483.0,2025-11-18 19:00:00+05:30,0.7837353880067472,8.252889749553992,95994.26152923043,296.82451533202493,124263.94709199214,122186.17548466797,tp_hit,0.12404635768987449,,,124324.0,2025-11-19 20:15:00+05:30,
9,Moving Average Crossover,SELL,122883.0,2025-11-19 21:45:00+05:30,0.6892259232117567,6.477836137747167,84694.1491220303,379.39520971808867,120606.62874169147,123262.39520971809,sl_hit,-0.020717183028853763,,,123276.0,2025-11-20 18:15:00+05:30,
10,Moving Average Crossover,SELL,122544.0,2025-11-20 22:00:00+05:30,0.7621241532725688,7.294343185594026,93393.74223863367,335.99735269384763,120528.01588383691,122879.99735269384,sl_hit,-0.03857173247376394,,,123192.0,2025-11-21 14:30:00+05:30,
11,Moving Average Crossover,BUY,123050.0,2025-11-21 15:00:00+05:30,0.6768713072593759,6.766113056948902,83289.01435826621,363.72433911261874,125232.3460346757,122686.27566088738,tp_hit,0.12097073324085807,,,125250.0,2025-11-25 09:45:00+05:30,
12,Moving Average Crossover,SELL,124835.0,2025-11-25 20:30:00+05:30,1.0224351598044747,9.249737221237547,127635.6931741916,269.9211815734112,123215.47291055953,125104.92118157342,sl_hit,-0.023488338199481734,,,125152.0,2025-11-25 22:00:00+05:30,
13,Moving Average Crossover,BUY,125359.0,2025-11-25 22:30:00+05:30,1.0748915813920938,10.0,134747.3337517315,235.59392066294313,126772.56352397766,125123.40607933706,tp_hit,0.11487009309263795,,,126799.0,2025-11-28 21:45:00+05:30,
14,Moving Average Crossover,SELL,127180.0,2025-12-01 20:00:00+05:30,1.1579169684595343,9.802837261187973,147263.88004868358,259.4758978679352,125623.14461279238,127439.47589786793,sl_hit,-0.035995636113970615,,,127647.0,2025-12-01 20:15:00+05:30,
15,Moving Average Crossover,BUY,127515.0,2025-12-02 18:15:00+05:30,1.1356961948090156,10.0,144818.30028107163,111.44070172078867,128183.64421032474,127403.55929827921,sl_hit,-0.015292318550758735,,,127320.0,2025-12-02 20:45:00+05:30,
16,Moving Average Crossover,SELL,126509.0,2025-12-02 21:15:00+05:30,1.1272217209937163,10.0,142603.69270119406,175.0814763204118,125458.51114207754,126684.08147632041,open,0.0,,,,,
